Name,ID,latitude,longitude
Sunset Park,3aa23776c0254d41b6d728224b14477b.16,28.24203,-81.324657
#GHC17 ,1a7a1846c633ab1429b17610931ea412,28.42275,-81.466972
'Ol Blue,b94fafe28a854c1baff1abcf969341ac.16,28.425361,-81.466386
0.2 Mile Marker,33b87883f86c466980d504fc1b0c401e.16,28.937603,-81.646739
1/2 A Plane,3dc2a45ebdd84d1195f67dedd21152ba.16,28.551895,-81.100966
1913 First United Methodist Church,3c0c9cc3a3c444b5a036d47630e52572.11,28.29497,-81.406361
1970s Computer Scientist,c4133c72d3694fbfb828512d86a2ba47.16,28.375366,-81.549647
1989 Fellowship Hall Memorial Marker,ce0aba94d40b463f8cdbefc3bef4ae1b.16,28.850793,-81.681129
1st Assembly of God,9b80831dc3444bb2a82fe19c463681c6.16,28.092093,-81.735242
4 Rivers Longhorn ,919e3c6509514dcda1c9d71a52647322.16,28.551402,-81.582594
4 Rivers Statue,4dd94ff325784523a345f6e7068a729d.11,28.593017,-81.371122
448 Community Club,45acac273536467cac155d6be22050c3.16,28.746219,-81.690885
65th Inf Disc Marker 9,96e5f051ad5a458dbef096b178178fd1.16,28.326819,-81.3488
910 Church of God Downtown,a5db07d673f94c4ea05db00e88b9ac66.16,28.547428,-81.392801
A Cherry on Top,872ff4d36a3040c385935f4025dc8ec9.16,28.259401,-81.436663
A Fossil From the Steamboat Age,bd21fb16f2ef42b595f051c3a978174a.16,28.942614,-81.342049
A Multi-Player World ,991f0cee0d934ecd823cb87882a878c4.16,28.519917,-81.464559
A Sweet Time at Toppers,3b9e4047036a4a0c94a76282e97ec5e5.16,28.672843,-81.449946
AT-AT Star Tours,7965c921034543a6939a929b436c6a0c.11,28.355652,-81.558817
Abaco Key Fountain,d63110f71b36496a9cf2c39c94fafbff.16,28.400272,-81.535075
Abandoned Post Office,b9661758e7584e59b05579a38b9f4675.16,28.671884,-81.206281
Abstract Power Box Mural,6683a114330247128555ae439f8e3d8b.16,28.545847,-81.366859
Abundant Life Family Worship Center,794ea0007f6944829ed5470022a6e347.16,28.564846,-81.156782
Acme Superstore,b14ebf5a666f496088e1f8726b35b8d6.16,28.698068,-81.329531
Adonis Statue,30a054f2f3744bb189ce069fb60aebdd.16,28.764937,-81.348758
Advanced Aesthetics Statue,0da6af9630d540718210052e66a17314.11,28.493954,-81.481826
Adventist Health Care Fountain,0cc15610b67e490fab998c62cdd15811.16,28.642707,-81.413398
Aenon Temple Ministry,0d62604ce6f741409c7b3470b84d3505.16,28.503679,-81.4006
African American Museum of the Arts,5b1246a71d3f45b9bf0e155d94cec326.12,29.023862,-81.306997
African Vase ,95df93dd6e6c4fe1b071c9f89f8f8b0e.16,28.351823,-81.603338
Agape Assembly Baptist Church,784e4e8632934fe0bc278f93992c5894.16,28.575031,-81.475822
Agape Perfecting Praise And Worship Center,1a8841cc45f04336a4cf0980e907d25b.16,28.538384,-81.434631
Agape Temple of Faith,250e3be47752450ba89246490cfa2a65.16,28.618743,-81.404334
Agave Baño Mural,f1443abc79a441e7a0aba6bc9e49a89c.16,28.569471,-81.876161
Air Force Memorial Plaque,82ad28af094d4f72a517db3216528899.16,28.500123,-81.586599
Airport Lakes Park Playground,775a2156edfe49539522741363e3bd82.16,28.460362,-81.316006
Airport Park Gazebo 2,e095c86e7bb44ac19e283aad1f112dde.16,28.459513,-81.317657
Alaqua Country Club Fountain,c447662dfc7f4c50aa82ac01a9c2a010.16,28.745039,-81.397377
Albin Polasek Museum and Sculpture,f258003568cd405ea3988a524c8c38b5.12,28.596496,-81.343461
Aleno Player - Concessionaire Recognition Plaque,7438831eae634efebfaeb6082b838dec.16,29.074639,-81.278892
Alien War Mural,d58256fe31c7410f82ecb273fc9985d1.16,28.552727,-81.346284
All Souls Catholic Cemetery,f6cc69de0a2b469fbea17a4f6b30288d.16,28.78649,-81.286632
